Search type: Characteristics
Introduced - L48

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
CRJA3,,Cryptomeria japonica (L. f.) D. Don,Japanese cedar
CYOB2,,Cydonia oblonga Mill.,quince
CYDA,,Cynodon dactylon (L.) Pers.,Bermudagrass
CYES,,Cyperus esculentus L.,yellow nutsedge
CYSC4,,Cytisus scoparius (L.) Link,Scotch broom
DAGL,,Dactylis glomerata L.,orchardgrass
DERE,,Delonix regia (Bojer ex Hook.) Raf.,royal poinciana
DEIN3,,Desmodium incanum DC.,zarzabacoa comun
DEIN2,,Desmodium intortum (Mill.) Urb.,greenleaf ticktrefoil
DETR4,,Desmodium triflorum (L.) DC.,threeflower ticktrefoil
DEGR3,,Deutzia gracilis Siebold & Zucc.,slender pride of Rochester
DIAN,,Dichanthium annulatum (Forssk.) Stapf,Kleberg's bluestem
DIAR5,,Dichanthium aristatum (Poir.) C.E. Hubbard,Angleton bluestem
DIPU,,Digitalis purpurea L.,purple foxglove
DIER,,Digitaria eriantha Steud.,digitgrass
ECCO2,,Echinochloa colona (L.) Link,jungle rice
ECFR,,Echinochloa frumentacea Link,billion-dollar grass
EHCA,,Ehrharta calycina Sm.,perennial veldtgrass
ELAN,,Elaeagnus angustifolia L.,Russian olive
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
ELRE4,,Elymus repens (L.) Gould,quackgrass
ERCU2,,Eragrostis curvula (Schrad.) Nees,weeping lovegrass
ERLE,,Eragrostis lehmanniana Nees,Lehmann lovegrass
ERSU,,Eragrostis superba Peyr.,Wilman lovegrass
EROP,,Eremochloa ophiuroides (Munro) Hack.,centipede grass
ERBO,,Erodium botrys (Cav.) Bertol.,longbeak stork's bill
EUCA2,,Eucalyptus camaldulensis Dehnh.,river redgum
EUGL,,Eucalyptus globulus Labill.,Tasmanian bluegum
EUGR12,,Eucalyptus grandis W. Hill ex Maid.,grand eucalyptus
EURO2,,Eucalyptus robusta Sm.,swampmahogany
EUAL13,,Euonymus alatus (Thunb.) Siebold,burningbush
EUAL13,EUAL8,"Euonymus alata (Thunb.) Siebold, orth. var.",
EUBU5,,Euonymus bungeanus Maxim.,winterberry euonymus
EUBU5,EUBU6,"Euonymus bungeanum Maxim., orth. var.",
EUFO5,,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper
FAES2,,Fagopyrum esculentum Moench,buckwheat
FATA,,Fagopyrum tataricum (L.) Gaertn.,Tartary buckwheat
FEBR7,,Festuca brevipila Tracey,hard fescue
FEBR7,FETR3,"Festuca trachyphylla (Hack.) Krajina, nom. illeg.",
FEHE2,,Festuca heteromalla Pourr.,varioushair fescue
FEOV,,Festuca ovina L.,sheep fescue
FERU2,,Festuca rubra L.,red fescue
FOIN3,,Forsythia ×intermedia Zabel [suspensa × viridissima],showy forsythia
FOSU,,Forsythia suspensa (Thunb.) Vahl,weeping forsythia
FRCH,,Fragaria chiloensis (L.) Mill.,beach strawberry
FRAL4,,Frangula alnus Mill.,glossy buckthorn
GIBI2,,Ginkgo biloba L.,maidenhair tree
GLSE2,,Gliricidia sepium (Jacq.) Kunth ex Walp.,quickstick
GLMA4,,Glycine max (L.) Merr.,soybean
GRRO,,Grevillea robusta A. Cunn. ex R. Br.,silkoak
HEHE,,Hedera helix L.,English ivy
HEAL5,,Hemarthria altissima (Poir.) Stapf & C.E. Hubbard,limpograss
HEMER,,Hemerocallis L.,daylily
HEMA3,,Hesperis matronalis L.,dames rocket
HOLA,,Holcus lanatus L.,common velvetgrass
HOVU,,Hordeum vulgare L.,common barley
HYCA10,,Hypericum calycinum L.,Aaron's beard
IBSE,,Iberis sempervirens L.,evergreen candytuft
ILCO80,,Ilex cornuta Lindl. & Paxton,Chinese holly
ILCR2,,Ilex crenata Thunb.,Japanese holly
INHI,,Indigofera hirsuta L.,hairy indigo
JURE80,,Juglans regia L.,English walnut
KOPA,,Koelreuteria paniculata Laxm.,goldenrain tree
KUST,,Kummerowia stipulacea (Maxim.) Makino,Korean clover
KUST2,,Kummerowia striata (Thunb.) Schindl.,Japanese clover
LAPU6,,Lablab purpureus (L.) Sweet,hyacinthbean
LAIN,,Lagerstroemia indica L.,crapemyrtle
LADE2,,Larix decidua Mill.,European larch
LAKA2,,Larix kaempferi (Lam.) Carrière,Japanese larch
LAHI2,,Lathyrus hirsutus L.,Caley pea
LALA4,,Lathyrus latifolius L.,perennial pea
LASY,,Lathyrus sylvestris L.,flat pea
LATU,,Lathyrus tuberosus L.,tuberous sweetpea
LEBI2,,Lespedeza bicolor Turcz.,shrub lespedeza
LETH4,,Lespedeza thunbergii (DC.) Nakai,Thunberg's lespedeza
LEVI80,,Lespedeza virgata (Thunb.) DC.,wand lespedeza
LELE10,,Leucaena leucocephala (Lam.) de Wit,white leadtree
LEVU,,Leucanthemum vulgare Lam.,oxeye daisy
LEAR11,,Leymus arenarius (L.) Hochst.,sand ryegrass
LERA5,,Leymus racemosus (Lam.) Tzvelev,mammoth wildrye
LIAM,,Ligustrum amurense Carrière,Amur privet
LIJA,,Ligustrum japonicum Thunb.,Japanese privet
LIOV,,Ligustrum ovalifolium Hassk.,California privet
LIVU,,Ligustrum vulgare L.,European privet
LIMU6,,Liriope muscari (Decne.) L.H. Bailey,big blue lilyturf
LOPE,,Lolium perenne L.,perennial ryegrass
LOPEM2,,Lolium perenne L. ssp. multiflorum (Lam.) Husnot,Italian ryegrass
LORI,,Lolium rigidum Gaudin,Wimmera ryegrass
LOJA,,Lonicera japonica Thunb.,Japanese honeysuckle
LOMA6,,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
LOTA,,Lonicera tatarica L.,Tatarian honeysuckle
LOCO6,,Lotus corniculatus L.,bird's-foot trefoil
LOPE80,,Lotus pedunculatus Cav.,big trefoil
LOTE4,,Lotus tenuis Waldst. & Kit. ex Willd.,narrowleaf trefoil
LUAL22,,Lupinus albus L.,white lupine
LUAN4,,Lupinus angustifolius L.,narrowleaf lupine
LULU80,,Lupinus luteus L.,European yellow lupine
MASO9,,Magnolia ×soulangiana Soul.-Bod. [denudata × liliifolia],Chinese magnolia
MAST6,,Magnolia stellata (Siebold & Zucc.) Maxim.,star magnolia
MALUS,,Malus Mill.,apple
MAFL80,,Malus floribunda Siebold ex Van Houtte,Japanese flowering crab apple
MASA9,,Malus sargentii Rehder,Sargent's apple
MASY2,,Malus sylvestris (L.) Mill.,European crab apple
MATO6,,Malus toringo (Siebold) Siebold ex de Vriese,toringo crab
MATO6,MASI80,Malus sieboldii (Regel) Rehder,
MAZU2,,Malus zumi (Matsum.) Rehder,o-zumi
MAZU2,MASIZ,Malus sieboldii (Regel) Rehder var. zumi (Matsum.) Asami,
MAIN3,,Mangifera indica L.,mango
MAES,,Manihot esculenta Crantz,cassava
MAZA,,Manilkara zapota (L.) P. Royen,sapodilla
MELU,,Medicago lupulina L.,black medick
MEPO3,,Medicago polymorpha L.,burclover
MESA,,Medicago sativa L.,alfalfa
MESC6,,Medicago scutellata (L.) Mill.,snail medick
MEAZ,,Melia azedarach L.,Chinaberrytree
MEBI,,Melicoccus bijugatus Jacq.,Spanish lime
MEIN2,,Melilotus indicus (L.) All.,annual yellow sweetclover
MEIN2,MEIN14,"Melilotus indica (L.) All., orth. var.",
MEOF,,Melilotus officinalis (L.) Lam.,sweetclover
MEGL8,,Metasequoia glyptostroboides Hu & W.C. Cheng,dawn redwood
MISI,,Miscanthus sinensis Andersson,Chinese silvergrass
MOCI3,,Morinda citrifolia L.,Indian mulberry
MOAL,,Morus alba L.,white mulberry
MYSC,,Myosotis scorpioides L.,true forget-me-not
NAMI,,Najas minor All.,brittle waternymph
NADO,,Nandina domestica Thunb.,sacred bamboo
NEOL,,Nerium oleander L.,oleander
ONVI,,Onobrychis viciifolia Scop.,sainfoin
OPFI,,Opuntia ficus-indica (L.) Mill.,Barbary fig
PATE11,,Pachysandra terminalis Siebold & Zucc.,Japanese pachysandra
PAAN4,,Panicum antidotale Retz.,blue panicum
PACO2,,Panicum coloratum L.,kleingrass
PAMI2,,Panicum miliaceum L.,proso millet
PATR6,,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,Boston ivy
PADI3,,Paspalum dilatatum Poir.,dallisgrass
PANI3,,Paspalum nicorae Parodi,Brunswickgrass
PANOS,,Paspalum notatum Flueggé var. saurae Parodi,bahiagrass
PATO2,,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PEAL,,Pennisetum alopecuroides (L.) Spreng.,Chinese fountaingrass
PECI,,Pennisetum ciliare (L.) Link,buffelgrass
PEGL2,,Pennisetum glaucum (L.) R. Br.,pearl millet
PEPU2,,Pennisetum purpureum Schumach.,elephant grass
PESE3,,Pennisetum setaceum (Forssk.) Chiov.,crimson fountaingrass
PHAQ,,Phalaris aquatica L.,bulbous canarygrass
PHCO7,,Philadelphus coronarius L.,sweet mock orange
PHPR3,,Phleum pratense L.,timothy
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHAU8,,Phyllostachys aurea Carrière ex A. Rivière & C. Rivière,golden bamboo
PIAB,,Picea abies (L.) Karst.,Norway spruce
PIMU80,,Pinus mugo Turra,mugo pine
PINI,,Pinus nigra Arnold,Austrian pine
PISY,,Pinus sylvestris L.,Scots pine
PITH2,,Pinus thunbergii Parl.,Japanese black pine
PITH2,PITH3,Pinus thunbergiana Franco,
PITO2,,Pittosporum tobira (Thunb.) W.T. Aiton,Japanese cheesewood
PLMA2,,Plantago major L.,common plantain
PLHI,,Platanus ×hispanica Mill. ex Münchh. [occidentalis × orientalis],London planetree
PLHI,PLHY3,Platanus hybrida Brot.,
PLOR80,,Platycladus orientalis (L.) Franco,Oriental arborvitae
POAN,,Poa annua L.,annual bluegrass
POBU,,Poa bulbosa L.,bulbous bluegrass
POCO,,Poa compressa L.,Canada bluegrass
POPR,,Poa pratensis L.,Kentucky bluegrass
POTR2,,Poa trivialis L.,rough bluegrass
POMA32,,Podocarpus macrophyllus (Thunb.) Sweet,yew plum pine
POBI5,,Polygonum bistorta L.,meadow bistort
POHY,,Polygonum hydropiper L.,marshpepper knotweed
POPE3,,Polygonum persicaria L.,spotted ladysthumb
POMO5,,Polypogon monspeliensis (L.) Desf.,annual rabbitsfoot grass
POAL7,,Populus alba L.,white poplar
PONI,,Populus nigra L.,Lombardy poplar
POCR3,,Potamogeton crispus L.,curly pondweed
PRFR2,,Prunus fruticosa Pall.,European dwarf cherry
PRPA5,,Prunus padus L.,European bird cherry
PRTO80,,Prunus tomentosa Thunb.,Nanking cherry
PSJU3,,Psathyrostachys juncea (Fisch.) Nevski,Russian wildrye
PSGU,,Psidium guajava L.,guava
PUGR2,,Punica granatum L.,pomegranate
PYCO2,,Pyracantha coccinea M. Roem.,scarlet firethorn
PYCA80,,Pyrus calleryana Decne.,Callery pear
PYCO,,Pyrus communis L.,common pear
QUAC80,,Quercus acutissima Carruthers,sawtooth oak
RARE3,,Ranunculus repens L.,creeping buttercup
ROSY,,Rorippa sylvestris (L.) Besser,creeping yellowcress
RORU82,,Rosa rubiginosa L.,sweetbriar rose
RORU82,ROEG,"Rosa eglanteria L., nom. utique rej.",
RORU,,Rosa rugosa Thunb.,rugosa rose
ROWI,,Rosa wichuraiana Crép.,memorial rose
ROOF,,Rosmarinus officinalis L.,rosemary
RUID,,Rubus idaeus L.,American red raspberry
RULA,,Rubus laciniatus Willd.,cutleaf blackberry
SAOF,,Saccharum officinarum L.,sugarcane
SARA3,,Saccharum ravennae (L.) L.,ravennagrass
SASE10,,Salix ×sepulcralis Simonkai [alba × babylonica],weeping willow
SAAL2,,Salix alba L.,white willow
SAPE4,,Salix pentandra L.,laurel willow
SAPU2,,Salix purpurea L.,purpleosier willow
SAMI3,,Sanguisorba minor Scop.,small burnet
SAOF4,,Saponaria officinalis L.,bouncingbet
SCAR7,,"Schedonorus arundinaceus (Schreb.) Dumort., nom. cons.",tall fescue
SCAR7,LOAR10,Lolium arundinaceum (Schreb.) S.J. Darbyshire,
SCPR4,,Schedonorus pratensis (Huds.) P. Beauv.,meadow fescue
SCPR4,LOPR7,Lolium pratense (Huds.) S.J. Darbyshire,
SCTE,,Schinus terebinthifolius Raddi,Brazilian peppertree
SECE,,Secale cereale L.,cereal rye
SEVA4,,Securigera varia (L.) Lassen,crownvetch
SEVA4,COVA2,Coronilla varia L.,
SEVU,,Senecio vulgaris L.,old-man-in-the-Spring
SEGR5,,Sesbania grandiflora (L.) Poir.,vegetable hummingbird
SEIT,,Setaria italica (L.) P. Beauv.,foxtail millet
SEPU8,,Setaria pumila (Poir.) Roem. & Schult.,yellow foxtail
SOLYL,,Solanum lycopersicum L. var. lycopersicum,garden tomato
SOME,,Solanum melongena L.,eggplant
SOAU,,Sorbus aucuparia L.,European mountain ash
SOBI2,,Sorghum bicolor (L.) Moench,sorghum
SOBIB,,Sorghum bicolor (L.) Moench ssp. bicolor,grain sorghum
SOBID,,Sorghum bicolor (L.) Moench ssp. drummondii (Nees ex Steud.) de Wet & Harlan,Sudangrass
SOHA,,Sorghum halepense (L.) Pers.,Johnsongrass
SPJA,,Spiraea japonica L. f.,Japanese meadowsweet
SPPR,,Spiraea prunifolia Siebold & Zucc.,bridalwreath spirea
SPTR2,,Spiraea trilobata L.,Asian meadowsweet
SYVI3,,Syringa villosa Vahl,villous lilac
SYVU,,Syringa vulgaris L.,common lilac
SYCU,,Syzygium cumini (L.) Skeels,Java plum
TAIN2,,Tamarindus indica L.,tamarind
TAOF,,Taraxacum officinale F.H. Wigg.,common dandelion
TAME2,,Taxus ×media Rehder [baccata × cuspidata],hybrid yew
TABA80,,Taxus baccata L.,English yew
TACU,,Taxus cuspidata Siebold & Zucc.,Japanese yew
TECA,,Terminalia catappa L.,tropical almond
THPO3,,Thespesia populnea (L.) Sol. ex Corrêa,Portia tree
THIN6,,Thinopyrum intermedium (Host) Barkworth & D.R. Dewey,intermediate wheatgrass
THPO7,,Thinopyrum ponticum (Podp.) Z.-W. Liu & R.-C. Wang,tall wheatgrass
TICO2,,Tilia cordata Mill.,littleleaf linden
TRJA,,Trachelospermum jasminoides (Lindl.) Lem.,confederate jasmine
TRDU,,Tragopogon dubius Scop.,yellow salsify
TRPO,,Tragopogon porrifolius L.,salsify
TRPR,,Tragopogon pratensis L.,Jack-go-to-bed-at-noon
TRAL6,,Trifolium alexandrinum L.,Egyptian clover
TRAM15,,Trifolium ambiguum M. Bieb.,Kura clover
TRFR2,,Trifolium fragiferum L.,strawberry clover
TRHI4,,Trifolium hirtum All.,rose clover
TRHY,,Trifolium hybridum L.,alsike clover
TRIN3,,Trifolium incarnatum L.,crimson clover
TRNI3,,Trifolium nigrescens Viv.,small white clover
TRPR2,,Trifolium pratense L.,red clover
TRRE3,,Trifolium repens L.,white clover
TRSU3,,Trifolium subterraneum L.,subterranean clover
TRVE,,Trifolium vesiculosum Savi,arrowleaf clover
TRAE,,Triticum aestivum L.,common wheat
TYAN,,Typha angustifolia L.,narrowleaf cattail
ULPA,,Ulmus parvifolia Jacq.,Chinese elm
ULPU,,Ulmus pumila L.,Siberian elm
URMA3,,Urochloa maxima (Jacq.) R. Webster,guineagrass
URMU,,Urochloa mutica (Forssk.) T.Q. Nguyen,para grass
URRA,,Urochloa ramosa (L.) Nguyen,
VEZI80,,Vetiveria zizanioides (L.) Nash,vetivergrass
VILA,,Viburnum lantana L.,wayfaringtree
VIOP,,Viburnum opulus L.,European cranberrybush
VIBE,,Vicia benghalensis L.,
VICR,,Vicia cracca L.,bird vetch
VIGR,,Vicia grandiflora Scop.,large yellow vetch
VILU2,,Vicia lutea L.,smooth yellow vetch
VISA,,Vicia sativa L.,garden vetch
VIVI,,Vicia villosa Roth,winter vetch
VIVIV8,,Vicia villosa Roth ssp. varia (Host) Corb.,winter vetch
VIRA4,,Vigna radiata (L.) R. Wilczek,mung bean
VIUN,,Vigna unguiculata (L.) Walp.,cowpea
VIMI2,,Vinca minor L.,common periwinkle
VUMY,,Vulpia myuros (L.) C.C. Gmel.,
ZEMA,,Zea mays L.,corn
ZESE80,,Zelkova serrata (Thunb.) Makino,Japanese zelkova
ZOJA,,Zoysia japonica Steud.,Korean lawngrass
ZOMA2,,Zoysia matrella (L.) Merr.,Manila grass
