response,trt,x01_pre,post0_1,post04_5,post10_11
tpa,Control,608 (123),606 (123) ***,748 (123) ***,616 (123) ***
tpa,Treatment,582 (122),339 (122) ***,368 (122) ***,269 (122) ***
qmd,Control,29.3 (2.52),29.3 (2.52),29.2 (2.52) .,30 (2.52) *
qmd,Treatment,29.2 (2.5),31.6 (2.5),32.3 (2.5) .,33.6 (2.5) *
ba_m2perha,Control,25.5 (2.14),25.3 (2.14) **,31.1 (2.14) ***,26.2 (2.14) ***
ba_m2perha,Treatment,26.3 (2.09),18.8 (2.09) **,22.2 (2.1) ***,18.1 (2.1) ***
fwd,Control,14.4 (2.89) .,7.88 (2.89) ***,11 (2.89),9.37 (2.89)
fwd,Treatment,11 (2.86) .,15.3 (2.86) ***,14.4 (2.87),9.39 (2.87)
seeds,Control,7440 (3620) .,8960 (3620) *,1860 (3620),1760 (3620)
seeds,Treatment,3580 (3590) .,3290 (3600) *,2830 (3600),3540 (3600)
